index,value
0,-279757
1,-3497
2,684743
3,50906
4,329760
5,916760
6,-789358
7,-790790
8,98223
9,-809046
10,281163
11,967128
12,388735
13,-716171
14,-36633
15,-402118
16,828732
17,-724025
18,-519459
19,-125678
20,362168
21,-700260
22,-562724
23,366143
24,167380
25,145941
26,121792
27,154608
28,-407878
29,-42488
30,-931368
31,-995874
32,201634
33,-254204
34,875299
35,150946
36,-623577
37,-858902
38,-959767
39,-550206
40,852112
41,90635
42,75997
43,-164464
44,-619998
45,-399188
46,-199716
47,-757913
48,-42277
49,449423
50,876947
51,-690777
52,-1900
53,159266
54,-420109
55,-330877
56,212458
57,705948
58,562736
59,-584689
60,-164208
61,-932262
62,-788934
63,-91024
64,683695
65,326129
66,-190412
67,118033
68,400775
69,-721330
70,794996
71,112785
72,-612829
73,-786628
74,-734894
75,-550056
76,212765
77,722431
78,-584549
79,-734223
80,169113
81,76269
82,733082
83,407792
84,492449
85,734506
86,863479
87,-499043
88,419461
89,-175823
90,129705
91,587018
92,611140
93,-521216
94,-944668
95,-647703
96,100231
97,-894944
98,726770
99,-865519
100,-883075
101,53078
102,-937123
103,-920070
104,14665
105,-966358
106,713375
107,-870256
108,540892
109,-658008
110,-792453
111,618780
112,521311
113,197650
114,-432456
115,792305
116,189123
117,-790707
118,934735
119,870633
120,-88161
121,571792
122,656848
123,-196497
124,-268209
125,863194
126,258743
127,-776071
128,-764733
129,-157068
130,983018
131,762806
132,-268304
133,913721
134,-526195
135,86676
136,-885740
137,-720773
138,-223194
139,-79078
140,-726622
141,-884525
142,-830499
143,529656
144,554756
145,-380322
146,916241
147,-953630
148,399521
149,-814702
150,465630
151,-941451
152,884066
153,706608
154,-742772
155,763370
156,323554
157,447445
158,-578810
159,936616
160,-833367
161,175042
162,682142
163,-796822
164,-236824
165,-190202
166,-594639
167,493089
168,-617819
169,-268726
170,522313
171,221955
172,105044
173,851618
174,886931
175,-145014
176,-214919
177,954621
178,739228
179,603241
180,-728452
181,-728426
182,-71242
183,-167234
184,-441705
185,684256
186,178992
187,-11655
188,-531388
189,-12506
190,-86873
191,311868
192,-75626
193,534602
194,-276628
195,-345823
196,-416474
197,-400329
198,511495
199,-510358
200,760250
201,559551
202,219495
203,-378987
204,124745
205,-670245
206,-148571
207,-422417
208,514382
209,517505
210,-528708
211,-88152
212,113284
213,351146
214,-673907
215,844779
216,972571
217,-780281
218,-732542
219,-711924
220,-299920
221,-660867
222,514112
223,-393954
224,544082
225,-779928
226,-69246
227,107685
228,-517103
229,-256322
230,949350
231,336427
232,29952
233,810120
234,162018
235,-938513
236,-885732
237,-389573
238,985137
239,467716
240,-814259
241,2113
242,-123922
243,-882795
244,-10635
245,-848153
246,4428
247,-103704
248,185752
249,6373
250,-919609
251,355418
252,-810113
253,828508
254,226767
255,-368281
256,-72191
257,-920546
258,359254
259,24970
260,400333
261,-387254
262,-57925
263,550798
264,-127798
265,-350511
266,472970
267,602403
268,-313768
269,-551421
270,-624096
271,201619
