structure,n,trial,total_ns,ns_per_push,median_push_ns,p95_push_ns,p99_push_ns,max_push_ns,random_access_ns,checksum,estimated_bytes
ResizableArray,0,0,0,0.000,0,0,0,0,0,0,0
BaselineArray,0,0,0,0.000,0,0,0,0,0,0,0
ResizableArray,0,1,0,0.000,0,0,0,0,100,0,0
BaselineArray,0,1,0,0.000,0,0,0,0,0,0,0
ResizableArray,0,2,100,0.000,0,0,0,0,0,0,0
BaselineArray,0,2,0,0.000,0,0,0,0,0,0,0
ResizableArray,0,3,100,0.000,0,0,0,0,0,0,0
BaselineArray,0,3,0,0.000,0,0,0,0,0,0,0
ResizableArray,0,4,0,0.000,0,0,0,0,0,0,0
BaselineArray,0,4,0,0.000,0,0,0,0,0,0,0
ResizableArray,0,5,0,0.000,0,0,0,0,0,0,0
BaselineArray,0,5,0,0.000,0,0,0,0,0,0,0
ResizableArray,0,6,0,0.000,0,0,0,0,0,0,0
BaselineArray,0,6,0,0.000,0,0,0,0,0,0,0
ResizableArray,0,7,0,0.000,0,0,0,0,0,0,0
BaselineArray,0,7,0,0.000,0,0,0,0,0,0,0
ResizableArray,0,8,0,0.000,0,0,0,0,0,0,0
BaselineArray,0,8,0,0.000,0,0,0,0,100,0,0
ResizableArray,0,9,0,0.000,0,0,0,0,0,0,0
BaselineArray,0,9,0,0.000,0,0,0,0,0,0,0
ResizableArray,1,0,0,0.000,0,0,0,0,0,4294687539,8
BaselineArray,1,0,0,0.000,100,100,100,100,100,4294687539,4
ResizableArray,1,1,0,0.000,100,100,100,100,0,4294687539,8
BaselineArray,1,1,100,100.000,100,100,100,100,100,4294687539,4
ResizableArray,1,2,100,100.000,100,100,100,100,0,4294687539,8
BaselineArray,1,2,100,100.000,100,100,100,100,0,4294687539,4
ResizableArray,1,3,0,0.000,0,0,0,0,0,4294687539,8
BaselineArray,1,3,0,0.000,100,100,100,100,100,4294687539,4
ResizableArray,1,4,100,100.000,100,100,100,100,0,4294687539,8
BaselineArray,1,4,0,0.000,100,100,100,100,0,4294687539,4
ResizableArray,1,5,0,0.000,0,0,0,0,0,4294687539,8
BaselineArray,1,5,100,100.000,100,100,100,100,100,4294687539,4
ResizableArray,1,6,0,0.000,0,0,0,0,0,4294687539,8
BaselineArray,1,6,100,100.000,100,100,100,100,100,4294687539,4
ResizableArray,1,7,100,100.000,0,0,0,0,100,4294687539,8
BaselineArray,1,7,100,100.000,0,0,0,0,0,4294687539,4
ResizableArray,1,8,100,100.000,100,100,100,100,0,4294687539,8
BaselineArray,1,8,100,100.000,0,0,0,0,0,4294687539,4
ResizableArray,1,9,0,0.000,100,100,100,100,100,4294687539,8
BaselineArray,1,9,0,0.000,0,0,0,0,0,4294687539,4
ResizableArray,2,0,200,100.000,100,100,100,100,0,5649334683369308829,16
BaselineArray,2,0,200,100.000,100,100,100,100,0,5649334683369308829,8
ResizableArray,2,1,100,50.000,100,100,100,100,100,5649334683369308829,16
BaselineArray,2,1,100,50.000,0,0,0,0,0,5649334683369308829,8
ResizableArray,2,2,100,50.000,100,100,100,100,0,5649334683369308829,16
BaselineArray,2,2,100,50.000,100,100,100,100,100,5649334683369308829,8
